unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
All sectors,5,21192,45.1,3.2,3.0,1,652,36.0,4.0,3.3,4,20540,45.3,3.2,3.0,jurisdiction_sector,August 2024,2025-10-21
Private sector,2,2990,36.0,7.0,2.8,,,,,,2,2990,36.0,7.0,2.8,jurisdiction_sector,August 2024,2025-10-21
Public sector,3,18202,46.5,2.6,3.1,1,652,36.0,4.0,3.3,2,17550,46.9,2.6,3.1,jurisdiction_sector,August 2024,2025-10-21
All sectors,5,14010,31.8,5.7,4.4,1,550,48.0,5.0,4.2,4,13460,31.1,5.7,4.4,jurisdiction_sector,September 2024,2025-10-21
Private sector,4,9010,29.4,6.9,5.1,1,550,48.0,5.0,4.2,3,8460,28.2,7.1,5.2,jurisdiction_sector,September 2024,2025-10-21
Public sector,1,5000,36.0,3.5,3.0,,,,,,1,5000,36.0,3.5,3.0,jurisdiction_sector,September 2024,2025-10-21
All sectors,8,45176,45.7,3.4,3.7,2,1680,39.4,4.2,3.2,6,43496,45.9,3.4,3.7,jurisdiction_sector,October 2024,2025-10-21
Private sector,2,7296,46.0,3.5,3.1,1,600,24.0,3.2,3.1,1,6696,48.0,3.5,3.1,jurisdiction_sector,October 2024,2025-10-21
Public sector,6,37880,45.6,3.4,3.8,1,1080,48.0,4.7,3.2,5,36800,45.5,3.3,3.9,jurisdiction_sector,October 2024,2025-10-21
All sectors,6,6894,38.1,3.7,3.4,1,1020,48.0,4.8,3.1,5,5874,36.4,3.5,3.4,jurisdiction_sector,November 2024,2025-10-21
Private sector,,,,,,,,,,,,,,,,jurisdiction_sector,November 2024,2025-10-21
Public sector,6,6894,38.1,3.7,3.4,1,1020,48.0,4.8,3.1,5,5874,36.4,3.5,3.4,jurisdiction_sector,November 2024,2025-10-21
All sectors,15,125802,52.7,5.3,3.7,4,9004,48.0,4.8,3.2,11,116798,53.0,5.4,3.7,jurisdiction_sector,December 2024,2025-10-21
Private sector,7,13801,57.2,2.8,3.7,2,2594,48.0,4.7,3.2,5,11207,59.3,2.4,3.8,jurisdiction_sector,December 2024,2025-10-21
Public sector,8,112001,52.1,5.7,3.7,2,6410,48.0,4.8,3.2,6,105591,52.4,5.7,3.7,jurisdiction_sector,December 2024,2025-10-21
All sectors,7,13702,57.6,5.3,3.3,1,536,36.0,3.0,3.0,6,13166,58.5,5.4,3.3,jurisdiction_sector,January 2025,2025-10-21
Private sector,3,3916,58.0,3.6,3.2,1,536,36.0,3.0,3.0,2,3380,61.5,3.6,3.3,jurisdiction_sector,January 2025,2025-10-21
Public sector,4,9786,57.5,6.1,3.3,,,,,,4,9786,57.5,6.1,3.3,jurisdiction_sector,January 2025,2025-10-21
All sectors,8,15157,45.3,4.7,3.6,5,12727,46.7,5.0,3.8,3,2430,37.9,2.7,2.6,jurisdiction_sector,February 2025,2025-10-21
Private sector,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,jurisdiction_sector,February 2025,2025-10-21
Public sector,4,10100,45.6,4.3,3.4,1,7670,48.0,4.7,3.7,3,2430,37.9,2.7,2.6,jurisdiction_sector,February 2025,2025-10-21
All sectors,6,22135,47.7,3.1,3.3,,,,,,6,22135,47.7,3.1,3.3,jurisdiction_sector,March 2025,2025-10-21
Private sector,1,1404,72.0,0.0,1.8,,,,,,1,1404,72.0,0.0,1.8,jurisdiction_sector,March 2025,2025-10-21
Public sector,5,20731,46.0,3.4,3.4,,,,,,5,20731,46.0,3.4,3.4,jurisdiction_sector,March 2025,2025-10-21
All sectors,13,172748,46.9,6.3,4.6,,,,,,13,172748,46.9,6.3,4.6,jurisdiction_sector,April 2025,2025-10-21
Private sector,6,116015,47.8,7.7,5.3,,,,,,6,116015,47.8,7.7,5.3,jurisdiction_sector,April 2025,2025-10-21
Public sector,7,56733,45.3,3.4,3.1,,,,,,7,56733,45.3,3.4,3.1,jurisdiction_sector,April 2025,2025-10-21
All sectors,9,25184,45.1,3.1,3.0,,,,,,9,25184,45.1,3.1,3.0,jurisdiction_sector,May 2025,2025-10-21
Private sector,4,11083,46.3,2.9,2.8,,,,,,4,11083,46.3,2.9,2.8,jurisdiction_sector,May 2025,2025-10-21
Public sector,5,14101,44.2,3.2,3.1,,,,,,5,14101,44.2,3.2,3.1,jurisdiction_sector,May 2025,2025-10-21
All sectors,4,4657,53.6,3.6,3.4,1,733,48.0,5.0,4.5,3,3924,54.7,3.3,3.2,jurisdiction_sector,June 2025,2025-10-21
Private sector,2,1523,47.1,4.7,3.5,1,733,48.0,5.0,4.5,1,790,46.3,4.4,2.5,jurisdiction_sector,June 2025,2025-10-21
Public sector,2,3134,56.8,3.0,3.4,,,,,,2,3134,56.8,3.0,3.4,jurisdiction_sector,June 2025,2025-10-21
All sectors,4,45658,48.4,7.4,2.1,2,3336,54.0,4.0,3.4,2,42322,48.0,7.7,2.0,jurisdiction_sector,July 2025,2025-10-21
Private sector,2,42230,48.7,7.8,2.0,1,2500,60.0,4.0,3.4,1,39730,48.0,8.0,1.9,jurisdiction_sector,July 2025,2025-10-21
Public sector,2,3428,44.6,3.2,3.2,1,836,36.0,4.0,3.5,1,2592,47.4,3.0,3.0,jurisdiction_sector,July 2025,2025-10-21
All sectors,46,207945,47.3,2.1,1.9,13,30144,49.2,3.5,3.0,33,177801,46.9,1.8,1.7,jurisdiction_sector,Q32022,2025-10-21
Private sector,17,54160,51.9,4.7,3.4,8,24579,51.0,3.6,3.1,9,29581,52.7,5.7,3.6,jurisdiction_sector,Q32022,2025-10-21
Public sector,29,153785,45.6,1.1,1.4,5,5565,41.0,3.3,2.7,24,148220,45.8,1.1,1.3,jurisdiction_sector,Q32022,2025-10-21
All sectors,44,246342,39.3,3.9,3.6,6,9188,48.8,3.3,2.7,38,237154,39.0,3.9,3.6,jurisdiction_sector,Q42022,2025-10-21
Private sector,9,15408,46.9,4.6,3.7,5,4688,49.5,3.0,2.7,4,10720,45.7,5.3,4.2,jurisdiction_sector,Q42022,2025-10-21
Public sector,35,230934,38.8,3.8,3.6,1,4500,48.0,3.5,2.8,34,226434,38.6,3.8,3.6,jurisdiction_sector,Q42022,2025-10-21
All sectors,30,61655,42.6,3.8,3.4,5,11340,55.9,1.3,2.6,25,50315,39.6,4.4,3.6,jurisdiction_sector,Q12023,2025-10-21
Private sector,10,26380,37.8,4.8,4.0,4,9390,55.0,1.0,2.5,6,16990,28.3,6.9,4.9,jurisdiction_sector,Q12023,2025-10-21
Public sector,20,35275,46.2,3.0,3.0,1,1950,60.0,2.8,2.9,19,33325,45.4,3.0,3.0,jurisdiction_sector,Q12023,2025-10-21
All sectors,51,308518,42.4,2.6,3.0,15,189076,46.2,2.5,3.2,36,119442,36.3,2.7,2.8,jurisdiction_sector,Q22023,2025-10-21
Private sector,18,34841,30.4,6.8,4.9,9,18021,29.8,7.4,4.5,9,16820,31.2,6.3,5.4,jurisdiction_sector,Q22023,2025-10-21
Public sector,33,273677,43.9,2.0,2.8,6,171055,48.0,2.0,3.0,27,102622,37.1,2.1,2.4,jurisdiction_sector,Q22023,2025-10-21
All sectors,46,169307,37.5,5.4,4.3,12,36336,46.5,3.0,3.7,34,132971,35.0,6.0,4.4,jurisdiction_sector,Q32023,2025-10-21
Private sector,14,24965,43.1,6.5,4.5,8,15341,45.7,4.8,4.6,6,9624,39.0,9.1,4.3,jurisdiction_sector,Q32023,2025-10-21
Public sector,32,144342,36.5,5.2,4.2,4,20995,47.0,1.7,3.0,28,123347,34.7,5.8,4.4,jurisdiction_sector,Q32023,2025-10-21
All sectors,32,180530,48.9,4.0,3.0,4,26541,50.5,3.8,3.3,28,153989,48.6,4.0,3.0,jurisdiction_sector,Q42023,2025-10-21
Private sector,10,35496,54.2,7.4,3.7,1,681,60.0,5.0,4.0,9,34815,54.0,7.4,3.7,jurisdiction_sector,Q42023,2025-10-21
Public sector,22,145034,47.6,3.1,2.9,3,25860,50.2,3.8,3.2,19,119174,47.0,3.0,2.8,jurisdiction_sector,Q42023,2025-10-21
All sectors,33,188927,45.9,3.0,2.6,6,14181,44.7,4.6,2.7,27,174746,46.0,2.9,2.6,jurisdiction_sector,Q12024,2025-10-21
Private sector,8,21291,42.5,2.6,2.4,3,3500,50.4,4.9,3.3,5,17791,40.9,2.2,2.2,jurisdiction_sector,Q12024,2025-10-21
Public sector,25,167636,46.3,3.1,2.6,3,10681,42.8,4.5,2.6,22,156955,46.6,3.0,2.6,jurisdiction_sector,Q12024,2025-10-21
All sectors,56,653329,53.5,5.3,3.5,6,32460,23.5,4.1,4.1,50,620869,55.1,5.4,3.5,jurisdiction_sector,Q22024,2025-10-21
Private sector,9,17020,28.5,4.9,4.2,5,13460,22.7,4.2,4.2,4,3560,50.7,7.3,3.9,jurisdiction_sector,Q22024,2025-10-21
Public sector,47,636309,54.2,5.3,3.5,1,19000,24.0,4.0,4.0,46,617309,55.1,5.4,3.5,jurisdiction_sector,Q22024,2025-10-21
