Month,Sector,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
August 2024,All sectors,All Jurisdictions,5,21192,45.1,3.2,3.0,2025-10-21
August 2024,All sectors,Federal Jurisdiction,1,652,36.0,4.0,3.3,2025-10-21
August 2024,All sectors,Provincial Jurisdiction,4,20540,45.3,3.2,3.0,2025-10-21
August 2024,Private sector,All Jurisdictions,2,2990,36.0,7.0,2.8,2025-10-21
August 2024,Private sector,Provincial Jurisdiction,2,2990,36.0,7.0,2.8,2025-10-21
August 2024,Public sector,All Jurisdictions,3,18202,46.5,2.6,3.1,2025-10-21
August 2024,Public sector,Federal Jurisdiction,1,652,36.0,4.0,3.3,2025-10-21
August 2024,Public sector,Provincial Jurisdiction,2,17550,46.9,2.6,3.1,2025-10-21
September 2024,All sectors,All Jurisdictions,5,14010,31.8,5.7,4.4,2025-10-21
September 2024,All sectors,Federal Jurisdiction,1,550,48.0,5.0,4.2,2025-10-21
September 2024,All sectors,Provincial Jurisdiction,4,13460,31.1,5.7,4.4,2025-10-21
September 2024,Private sector,All Jurisdictions,4,9010,29.4,6.9,5.1,2025-10-21
September 2024,Private sector,Federal Jurisdiction,1,550,48.0,5.0,4.2,2025-10-21
September 2024,Private sector,Provincial Jurisdiction,3,8460,28.2,7.1,5.2,2025-10-21
September 2024,Public sector,All Jurisdictions,1,5000,36.0,3.5,3.0,2025-10-21
September 2024,Public sector,Provincial Jurisdiction,1,5000,36.0,3.5,3.0,2025-10-21
October 2024,All sectors,All Jurisdictions,8,45176,45.7,3.4,3.7,2025-10-21
October 2024,All sectors,Federal Jurisdiction,2,1680,39.4,4.2,3.2,2025-10-21
October 2024,All sectors,Provincial Jurisdiction,6,43496,45.9,3.4,3.7,2025-10-21
October 2024,Private sector,All Jurisdictions,2,7296,46.0,3.5,3.1,2025-10-21
October 2024,Private sector,Federal Jurisdiction,1,600,24.0,3.2,3.1,2025-10-21
