Month,Industry,Sector_Type,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
August 2024,All industries,All Sectors,5,21192,45.1,3.2,3.0,2025-10-21
August 2024,All industries,Private Sector,2,2990,36.0,7.0,2.8,2025-10-21
August 2024,All industries,Public Sector,3,18202,46.5,2.6,3.1,2025-10-21
August 2024,Transportation,All Sectors,1,652,36.0,4.0,3.3,2025-10-21
August 2024,Transportation,Public Sector,1,652,36.0,4.0,3.3,2025-10-21
August 2024,Finance and professional services,All Sectors,1,2240,36.0,7.7,2.5,2025-10-21
August 2024,Finance and professional services,Private Sector,1,2240,36.0,7.7,2.5,2025-10-21
August 2024,"Education, health, and social services",All Sectors,2,17550,46.9,2.6,3.1,2025-10-21
August 2024,"Education, health, and social services",Public Sector,2,17550,46.9,2.6,3.1,2025-10-21
August 2024,Entertainment and hospitality,All Sectors,1,750,36.0,5.0,3.7,2025-10-21
August 2024,Entertainment and hospitality,Private Sector,1,750,36.0,5.0,3.7,2025-10-21
September 2024,All industries,All Sectors,5,14010,31.8,5.7,4.4,2025-10-21
September 2024,All industries,Private Sector,4,9010,29.4,6.9,5.1,2025-10-21
September 2024,All industries,Public Sector,1,5000,36.0,3.5,3.0,2025-10-21
September 2024,Manufacturing,All Sectors,1,2710,24.1,15.3,9.9,2025-10-21
September 2024,Manufacturing,Private Sector,1,2710,24.1,15.3,9.9,2025-10-21
September 2024,Transportation,All Sectors,1,550,48.0,5.0,4.2,2025-10-21
September 2024,Transportation,Private Sector,1,550,48.0,5.0,4.2,2025-10-21
September 2024,Finance and professional services,All Sectors,2,5750,30.1,3.2,2.9,2025-10-21
September 2024,Finance and professional services,Private Sector,2,5750,30.1,3.2,2.9,2025-10-21
September 2024,"Education, health, and social services",All Sectors,1,5000,36.0,3.5,3.0,2025-10-21
September 2024,"Education, health, and social services",Public Sector,1,5000,36.0,3.5,3.0,2025-10-21
October 2024,All industries,All Sectors,8,45176,45.7,3.4,3.7,2025-10-21
October 2024,All industries,Private Sector,2,7296,46.0,3.5,3.1,2025-10-21
October 2024,All industries,Public Sector,6,37880,45.6,3.4,3.8,2025-10-21
October 2024,Transportation,All Sectors,1,600,24.0,3.2,3.1,2025-10-21
October 2024,Transportation,Private Sector,1,600,24.0,3.2,3.1,2025-10-21
October 2024,"Education, health, and social services",All Sectors,4,36396,47.8,3.0,3.8,2025-10-21
October 2024,"Education, health, and social services",Private Sector,1,6696,48.0,3.5,3.1,2025-10-21
October 2024,"Education, health, and social services",Public Sector,3,29700,47.8,2.8,4.0,2025-10-21
October 2024,Public administration,All Sectors,3,8180,37.6,5.4,3.4,2025-10-21
October 2024,Public administration,Public Sector,3,8180,37.6,5.4,3.4,2025-10-21
November 2024,All industries,All Sectors,6,6894,38.1,3.7,3.4,2025-10-21
November 2024,All industries,Public Sector,6,6894,38.1,3.7,3.4,2025-10-21
November 2024,Finance and professional services,All Sectors,1,1020,48.0,4.8,3.1,2025-10-21
November 2024,Finance and professional services,Public Sector,1,1020,48.0,4.8,3.1,2025-10-21
November 2024,"Education, health, and social services",All Sectors,2,1547,30.2,4.3,3.8,2025-10-21
November 2024,"Education, health, and social services",Public Sector,2,1547,30.2,4.3,3.8,2025-10-21
November 2024,Public administration,All Sectors,3,4327,38.6,3.3,3.3,2025-10-21
November 2024,Public administration,Public Sector,3,4327,38.6,3.3,3.3,2025-10-21
December 2024,All industries,All Sectors,15,125802,52.7,5.3,3.7,2025-10-21
December 2024,All industries,Private Sector,7,13801,57.2,2.8,3.7,2025-10-21
December 2024,All industries,Public Sector,8,112001,52.1,5.7,3.7,2025-10-21
December 2024,Utilities,All Sectors,1,1151,24.0,4.0,3.7,2025-10-21
