unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
All jurisdictions,5,21192,45.1,3.2,3.0,2,2990,36.0,7.0,2.8,3,18202,46.5,2.6,3.1,sector_jurisdiction,August 2024,2025-10-21
Federal jurisdiction,1,652,36.0,4.0,3.3,,,,,,1,652,36.0,4.0,3.3,sector_jurisdiction,August 2024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Ontario,1,1550,36.0,3.1,2.9,,,,,,1,1550,36.0,3.1,2.9,sector_jurisdiction,August 2024,2025-10-21
Manitoba,1,16000,48.0,2.5,3.1,,,,,,1,16000,48.0,2.5,3.1,sector_jurisdiction,August 2024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Alberta,1,750,36.0,5.0,3.7,1,750,36.0,5.0,3.7,,,,,,sector_jurisdiction,August 2024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,August 2024,2025-10-21
Multi-provinces,1,2240,36.0,7.7,2.5,1,2240,36.0,7.7,2.5,,,,,,sector_jurisdiction,August 2024,2025-10-21
All jurisdictions,5,14010,31.8,5.7,4.4,4,9010,29.4,6.9,5.1,1,5000,36.0,3.5,3.0,sector_jurisdiction,September 2024,2025-10-21
Federal jurisdiction,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,sector_jurisdiction,September 2024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Ontario,4,13460,31.1,5.7,4.4,3,8460,28.2,7.1,5.2,1,5000,36.0,3.5,3.0,sector_jurisdiction,September 2024,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Alberta,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,September 2024,2025-10-21
All jurisdictions,8,45176,45.7,3.4,3.7,2,7296,46.0,3.5,3.1,6,37880,45.6,3.4,3.8,sector_jurisdiction,October 2024,2025-10-21
Federal jurisdiction,2,1680,39.4,4.2,3.2,1,600,24.0,3.2,3.1,1,1080,48.0,4.7,3.2,sector_jurisdiction,October 2024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
Ontario,2,10700,47.5,3.4,2.8,,,,,,2,10700,47.5,3.4,2.8,sector_jurisdiction,October 2024,2025-10-21
Manitoba,2,25696,48.0,2.8,4.2,1,6696,48.0,3.5,3.1,1,19000,48.0,2.5,4.6,sector_jurisdiction,October 2024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
Alberta,1,1100,36.0,3.0,3.0,,,,,,1,1100,36.0,3.0,3.0,sector_jurisdiction,October 2024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
All territories,1,6000,36.0,6.0,3.5,,,,,,1,6000,36.0,6.0,3.5,sector_jurisdiction,October 2024,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,October 2024,2025-10-21
All jurisdictions,6,6894,38.1,3.7,3.4,,,,,,6,6894,38.1,3.7,3.4,sector_jurisdiction,November 2024,2025-10-21
Federal jurisdiction,1,1020,48.0,4.8,3.1,,,,,,1,1020,48.0,4.8,3.1,sector_jurisdiction,November 2024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Ontario,3,2747,32.7,3.7,3.4,,,,,,3,2747,32.7,3.7,3.4,sector_jurisdiction,November 2024,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Alberta,2,3127,39.6,3.4,3.4,,,,,,2,3127,39.6,3.4,3.4,sector_jurisdiction,November 2024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,November 2024,2025-10-21
All jurisdictions,15,125802,52.7,5.3,3.7,7,13801,57.2,2.8,3.7,8,112001,52.1,5.7,3.7,sector_jurisdiction,December 2024,2025-10-21
Federal jurisdiction,4,9004,48.0,4.8,3.2,2,2594,48.0,4.7,3.2,2,6410,48.0,4.8,3.2,sector_jurisdiction,December 2024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Nova Scotia,2,16870,24.0,5.1,4.1,,,,,,2,16870,24.0,5.1,4.1,sector_jurisdiction,December 2024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Quebec,4,89929,60.6,5.6,3.6,3,8256,66.7,2.0,4.0,1,81673,60.0,6.0,3.6,sector_jurisdiction,December 2024,2025-10-21
Ontario,1,4840,12.0,5.0,5.0,,,,,,1,4840,12.0,5.0,5.0,sector_jurisdiction,December 2024,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Alberta,3,3359,57.2,1.7,2.6,1,1151,24.0,4.0,3.7,2,2208,74.5,0.6,2.0,sector_jurisdiction,December 2024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,December 2024,2025-10-21
Multi-provinces,1,1800,48.0,3.0,3.0,1,1800,48.0,3.0,3.0,,,,,,sector_jurisdiction,December 2024,2025-10-21
All jurisdictions,7,13702,57.6,5.3,3.3,3,3916,58.0,3.6,3.2,4,9786,57.5,6.1,3.3,sector_jurisdiction,January 2025,2025-10-21
Federal jurisdiction,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,sector_jurisdiction,January 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Quebec,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,sector_jurisdiction,January 2025,2025-10-21
Ontario,2,1927,52.7,5.7,3.6,,,,,,2,1927,52.7,5.7,3.6,sector_jurisdiction,January 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Alberta,2,3892,36.0,5.4,3.2,1,980,36.0,2.8,3.5,1,2912,36.0,6.3,3.2,sector_jurisdiction,January 2025,2025-10-21
British Columbia,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_jurisdiction,January 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
All jurisdictions,8,15157,45.3,4.7,3.6,4,5057,44.9,5.5,4.0,4,10100,45.6,4.3,3.4,sector_jurisdiction,February 2025,2025-10-21
Federal jurisdiction,5,12727,46.7,5.0,3.8,4,5057,44.9,5.5,4.0,1,7670,48.0,4.7,3.7,sector_jurisdiction,February 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Quebec,1,566,60.0,2.8,2.6,,,,,,1,566,60.0,2.8,2.6,sector_jurisdiction,February 2025,2025-10-21
Ontario,1,1300,24.0,2.5,2.5,,,,,,1,1300,24.0,2.5,2.5,sector_jurisdiction,February 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Alberta,1,564,48.0,3.0,3.0,,,,,,1,564,48.0,3.0,3.0,sector_jurisdiction,February 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
All jurisdictions,6,22135,47.7,3.1,3.3,1,1404,72.0,0.0,1.8,5,20731,46.0,3.4,3.4,sector_jurisdiction,March 2025,2025-10-21
Federal jurisdiction,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Ontario,1,8240,48.0,3.9,3.7,,,,,,1,8240,48.0,3.9,3.7,sector_jurisdiction,March 2025,2025-10-21
Manitoba,2,8300,48.0,2.9,3.1,,,,,,2,8300,48.0,2.9,3.1,sector_jurisdiction,March 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Alberta,3,5595,46.7,2.2,2.9,1,1404,72.0,0.0,1.8,2,4191,38.3,3.0,3.3,sector_jurisdiction,March 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
