unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Q3 2022,46,207945,47.3,2.1,1.9,17,54160,51.9,4.7,3.4,29,153785,45.6,1.1,1.4,sector_quarter,All industries,2025-10-21
Q4 2022,44,246342,39.3,3.9,3.6,9,15408,46.9,4.6,3.7,35,230934,38.8,3.8,3.6,sector_quarter,All industries,2025-10-21
Q1 2023,30,61655,42.6,3.8,3.4,10,26380,37.8,4.8,4.0,20,35275,46.2,3.0,3.0,sector_quarter,All industries,2025-10-21
Q2 2023,51,308518,42.4,2.6,3.0,18,34841,30.4,6.8,4.9,33,273677,43.9,2.0,2.8,sector_quarter,All industries,2025-10-21
Q3 2023,46,169307,37.5,5.4,4.3,14,24965,43.1,6.5,4.5,32,144342,36.5,5.2,4.2,sector_quarter,All industries,2025-10-21
Q4 2023,32,180530,48.9,4.0,3.0,10,35496,54.2,7.4,3.7,22,145034,47.6,3.1,2.9,sector_quarter,All industries,2025-10-21
Q1 2024,33,188927,45.9,3.0,2.6,8,21291,42.5,2.6,2.4,25,167636,46.3,3.1,2.6,sector_quarter,All industries,2025-10-21
Q2 2024,56,653329,53.5,5.3,3.5,9,17020,28.5,4.9,4.2,47,636309,54.2,5.3,3.5,sector_quarter,All industries,2025-10-21
Q3 2024,27,95429,42.8,4.1,3.3,8,13506,33.5,7.7,4.5,19,81923,44.3,3.5,3.1,sector_quarter,All industries,2025-10-21
Q4 2024,29,177872,50.3,4.8,3.7,9,21097,53.3,3.0,3.5,20,156775,49.9,5.0,3.7,sector_quarter,All industries,2025-10-21
Q1 2025,21,50994,49.7,4.2,3.4,8,10377,53.5,4.0,3.4,13,40617,48.7,4.2,3.4,sector_quarter,All industries,2025-10-21
Q2 2025,26,202589,46.9,5.8,4.4,12,128621,47.6,7.2,5.1,14,73968,45.6,3.3,3.1,sector_quarter,All industries,2025-10-21
Q3 2022,1,1011,60.0,2.0,2.0,1,1011,60.0,2.0,2.0,,,,,,sector_quarter,Primary industries,2025-10-21
Q4 2022,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q1 2023,1,750,48.0,3.5,2.9,1,750,48.0,3.5,2.9,,,,,,sector_quarter,Primary industries,2025-10-21
Q2 2023,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q3 2023,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q4 2023,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q1 2024,1,3317,36.0,5.0,4.0,1,3317,36.0,5.0,4.0,,,,,,sector_quarter,Primary industries,2025-10-21
Q2 2024,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q3 2024,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q1 2025,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,sector_quarter,Primary industries,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,sector_quarter,Primary industries,2025-10-21
Q3 2022,2,1425,47.6,0.3,1.0,,,,,,2,1425,47.6,0.3,1.0,sector_quarter,Utilities,2025-10-21
Q4 2022,1,780,35.9,1.0,2.3,,,,,,1,780,35.9,1.0,2.3,sector_quarter,Utilities,2025-10-21
Q1 2023,3,2972,40.1,2.2,2.6,1,994,36.0,2.8,2.7,2,1978,42.2,2.0,2.5,sector_quarter,Utilities,2025-10-21
Q2 2023,3,7554,27.1,4.3,3.7,1,1264,36.0,3.0,2.7,2,6290,25.3,4.5,3.9,sector_quarter,Utilities,2025-10-21
Q3 2023,1,5408,30.0,4.5,4.8,,,,,,1,5408,30.0,4.5,4.8,sector_quarter,Utilities,2025-10-21
Q4 2023,1,3220,24.0,3.7,3.5,,,,,,1,3220,24.0,3.7,3.5,sector_quarter,Utilities,2025-10-21
