unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
2016,292,1194600,48.5,0.9,1.4,128,247565,45.4,1.5,1.5,164,947035,49.2,0.7,1.3,sector_year,All industries,2025-10-21
2017,224,868612,39.8,1.7,1.7,75,193038,44.9,2.6,2.0,149,675574,38.3,1.4,1.7,sector_year,All industries,2025-10-21
2018,226,761192,42.7,1.4,1.4,82,220436,47.4,2.3,1.9,144,540756,40.7,1.0,1.2,sector_year,All industries,2025-10-21
2019,269,684720,43.1,1.8,1.8,97,187467,43.2,2.0,2.1,172,497253,43.0,1.7,1.7,sector_year,All industries,2025-10-21
2020,182,809923,41.4,1.8,1.9,60,139261,47.0,2.0,1.7,122,670662,40.2,1.8,2.0,sector_year,All industries,2025-10-21
2021,179,1030411,42.8,1.8,1.9,63,225105,48.6,2.0,2.0,116,805306,41.2,1.8,1.9,sector_year,All industries,2025-10-21
2022,147,706936,42.5,2.8,2.7,42,139126,45.1,4.2,3.6,105,567810,41.9,2.5,2.5,sector_year,All industries,2025-10-21
2023,159,720010,42.9,3.7,3.4,52,121682,41.6,6.5,4.3,107,598328,43.2,3.1,3.2,sector_year,All industries,2025-10-21
2024,145,1115557,50.8,4.7,3.4,34,72914,40.7,4.2,3.5,111,1042643,51.5,4.8,3.3,sector_year,All industries,2025-10-21
2025,51,299241,47.6,5.8,3.9,22,181228,48.2,7.2,4.3,29,118013,46.6,3.6,3.2,sector_year,All industries,2025-10-21
2016,8,14090,32.1,0.2,0.7,8,14090,32.1,0.2,0.7,,,,,,sector_year,Primary industries,2025-10-21
2017,10,13602,36.8,0.7,0.9,10,13602,36.8,0.7,0.9,,,,,,sector_year,Primary industries,2025-10-21
2018,2,2213,50.9,8.7,2.7,2,2213,50.9,8.7,2.7,,,,,,sector_year,Primary industries,2025-10-21
2019,4,5630,55.7,2.3,2.4,4,5630,55.7,2.3,2.4,,,,,,sector_year,Primary industries,2025-10-21
2020,1,650,64.8,2.5,2.2,1,650,64.8,2.5,2.2,,,,,,sector_year,Primary industries,2025-10-21
2021,3,3139,44.5,1.4,2.4,3,3139,44.5,1.4,2.4,,,,,,sector_year,Primary industries,2025-10-21
2022,1,1011,60.0,2.0,2.0,1,1011,60.0,2.0,2.0,,,,,,sector_year,Primary industries,2025-10-21
2023,1,750,48.0,3.5,2.9,1,750,48.0,3.5,2.9,,,,,,sector_year,Primary industries,2025-10-21
2024,1,3317,36.0,5.0,4.0,1,3317,36.0,5.0,4.0,,,,,,sector_year,Primary industries,2025-10-21
2025,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,sector_year,Primary industries,2025-10-21
2016,8,5800,48.9,0.8,1.4,2,1490,28.0,0.5,1.1,6,4310,56.2,0.8,1.5,sector_year,Utilities,2025-10-21
2017,3,2920,29.4,1.6,1.7,2,2230,27.4,1.7,1.8,1,690,36.0,1.2,1.7,sector_year,Utilities,2025-10-21
2018,11,29176,44.9,1.3,2.0,3,4220,48.3,2.0,2.1,8,24956,44.3,1.2,2.0,sector_year,Utilities,2025-10-21
2019,12,19730,36.0,1.8,2.1,4,4580,38.2,2.0,1.8,8,15150,35.4,1.7,2.2,sector_year,Utilities,2025-10-21
2020,5,12606,44.3,1.5,1.9,,,,,,5,12606,44.3,1.5,1.9,sector_year,Utilities,2025-10-21
2021,8,17469,27.5,1.1,1.1,2,1690,43.7,0.6,1.5,6,15779,25.8,1.1,1.1,sector_year,Utilities,2025-10-21
2022,4,3055,44.7,0.4,1.6,,,,,,4,3055,44.7,0.4,1.6,sector_year,Utilities,2025-10-21
2023,8,19154,29.4,3.9,3.8,2,2258,36.0,2.9,2.7,6,16896,28.6,4.1,4.0,sector_year,Utilities,2025-10-21
2024,3,3361,31.9,3.3,3.0,1,1151,24.0,4.0,3.7,2,2210,36.0,3.0,2.7,sector_year,Utilities,2025-10-21
2025,2,3280,52.8,2.9,3.5,1,980,36.0,2.8,3.5,1,2300,60.0,3.0,3.5,sector_year,Utilities,2025-10-21
2016,53,112580,36.7,2.0,1.9,53,112580,36.7,2.0,1.9,,,,,,sector_year,Construction,2025-10-21
2017,16,97270,44.5,3.4,2.0,16,97270,44.5,3.4,2.0,,,,,,sector_year,Construction,2025-10-21
2018,16,93740,46.9,2.1,1.5,16,93740,46.9,2.1,1.5,,,,,,sector_year,Construction,2025-10-21
2019,44,109945,36.6,2.0,2.1,44,109945,36.6,2.0,2.1,,,,,,sector_year,Construction,2025-10-21
2020,10,20042,44.5,0.8,1.0,10,20042,44.5,0.8,1.0,,,,,,sector_year,Construction,2025-10-21
2021,9,149177,47.9,2.0,2.0,9,149177,47.9,2.0,2.0,,,,,,sector_year,Construction,2025-10-21
2022,8,58510,35.7,4.6,4.4,8,58510,35.7,4.6,4.4,,,,,,sector_year,Construction,2025-10-21
2023,9,25701,27.8,8.2,5.9,9,25701,27.8,8.2,5.9,,,,,,sector_year,Construction,2025-10-21
2024,1,700,48.0,2.8,2.6,1,700,48.0,2.8,2.6,,,,,,sector_year,Construction,2025-10-21
2025,9,163584,48.0,7.4,4.3,9,163584,48.0,7.4,4.3,,,,,,sector_year,Construction,2025-10-21
2016,29,43197,51.0,1.9,1.4,28,42677,51.1,1.9,1.4,1,520,48.0,1.7,1.6,sector_year,Manufacturing,2025-10-21
2017,10,10440,48.3,1.5,1.4,10,10440,48.3,1.5,1.4,,,,,,sector_year,Manufacturing,2025-10-21
2018,13,13488,51.9,2.2,1.9,13,13488,51.9,2.2,1.9,,,,,,sector_year,Manufacturing,2025-10-21
2019,16,17760,61.1,2.0,2.2,15,16980,61.7,2.0,2.2,1,780,48.0,2.0,1.7,sector_year,Manufacturing,2025-10-21
2020,14,39945,40.3,3.2,2.1,14,39945,40.3,3.2,2.1,,,,,,sector_year,Manufacturing,2025-10-21
2021,15,14707,51.2,4.5,2.3,15,14707,51.2,4.5,2.3,,,,,,sector_year,Manufacturing,2025-10-21
2022,8,12376,52.3,9.0,3.9,8,12376,52.3,9.0,3.9,,,,,,sector_year,Manufacturing,2025-10-21
2023,9,22886,37.3,8.9,4.9,9,22886,37.3,8.9,4.9,,,,,,sector_year,Manufacturing,2025-10-21
2024,7,8804,41.9,10.4,6.1,7,8804,41.9,10.4,6.1,,,,,,sector_year,Manufacturing,2025-10-21
2025,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_year,Manufacturing,2025-10-21
2016,9,24215,60.4,1.4,1.3,8,23420,60.4,1.4,1.3,1,795,60.0,0.5,1.5,sector_year,Wholesale and retail trade,2025-10-21
2017,7,14550,47.5,1.7,1.9,6,7560,47.0,1.9,2.0,1,6990,48.0,1.5,1.9,sector_year,Wholesale and retail trade,2025-10-21
2018,10,20373,52.8,0.9,1.4,8,18913,53.5,0.9,1.5,2,1460,42.7,0.1,0.3,sector_year,Wholesale and retail trade,2025-10-21
2019,11,25528,58.1,1.2,1.7,8,18450,54.0,1.1,1.8,3,7078,68.7,1.3,1.5,sector_year,Wholesale and retail trade,2025-10-21
2020,9,13811,75.5,0.9,1.0,8,13311,75.7,0.9,1.0,1,500,72.0,1.0,1.2,sector_year,Wholesale and retail trade,2025-10-21
2021,10,24770,55.8,1.5,1.4,9,23970,55.3,1.4,1.3,1,800,72.0,5.7,3.2,sector_year,Wholesale and retail trade,2025-10-21
2022,3,10577,43.5,7.9,3.1,1,2800,61.0,0.0,0.3,2,7777,37.2,10.8,4.1,sector_year,Wholesale and retail trade,2025-10-21
