Month,Sector,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
August 2024,All industries,All Jurisdictions,5.0,21192.0,45.1,3.2,3.0,2025-10-21
August 2024,All industries,Federal Jurisdiction,1.0,652.0,36.0,4.0,3.3,2025-10-21
August 2024,All industries,Provincial Jurisdiction,4.0,20540.0,45.3,3.2,3.0,2025-10-21
September 2024,All industries,All Jurisdictions,5.0,14010.0,31.8,5.7,4.4,2025-10-21
September 2024,All industries,Federal Jurisdiction,1.0,550.0,48.0,5.0,4.2,2025-10-21
September 2024,All industries,Provincial Jurisdiction,4.0,13460.0,31.1,5.7,4.4,2025-10-21
October 2024,All industries,All Jurisdictions,8.0,45176.0,45.7,3.4,3.7,2025-10-21
October 2024,All industries,Federal Jurisdiction,2.0,1680.0,39.4,4.2,3.2,2025-10-21
October 2024,All industries,Provincial Jurisdiction,6.0,43496.0,45.9,3.4,3.7,2025-10-21
November 2024,All industries,All Jurisdictions,6.0,6894.0,38.1,3.7,3.4,2025-10-21
November 2024,All industries,Federal Jurisdiction,1.0,1020.0,48.0,4.8,3.1,2025-10-21
November 2024,All industries,Provincial Jurisdiction,5.0,5874.0,36.4,3.5,3.4,2025-10-21
December 2024,All industries,All Jurisdictions,15.0,125802.0,52.7,5.3,3.7,2025-10-21
December 2024,All industries,Federal Jurisdiction,4.0,9004.0,48.0,4.8,3.2,2025-10-21
December 2024,All industries,Provincial Jurisdiction,11.0,116798.0,53.0,5.4,3.7,2025-10-21
January 2025,All industries,All Jurisdictions,7.0,13702.0,57.6,5.3,3.3,2025-10-21
January 2025,All industries,Federal Jurisdiction,1.0,536.0,36.0,3.0,3.0,2025-10-21
January 2025,All industries,Provincial Jurisdiction,6.0,13166.0,58.5,5.4,3.3,2025-10-21
February 2025,All industries,All Jurisdictions,8.0,15157.0,45.3,4.7,3.6,2025-10-21
February 2025,All industries,Federal Jurisdiction,5.0,12727.0,46.7,5.0,3.8,2025-10-21
February 2025,All industries,Provincial Jurisdiction,3.0,2430.0,37.9,2.7,2.6,2025-10-21
March 2025,All industries,All Jurisdictions,6.0,22135.0,47.7,3.1,3.3,2025-10-21
March 2025,All industries,Provincial Jurisdiction,6.0,22135.0,47.7,3.1,3.3,2025-10-21
April 2025,All industries,All Jurisdictions,13.0,172748.0,46.9,6.3,4.6,2025-10-21
April 2025,All industries,Provincial Jurisdiction,13.0,172748.0,46.9,6.3,4.6,2025-10-21
May 2025,All industries,All Jurisdictions,9.0,25184.0,45.1,3.1,3.0,2025-10-21
May 2025,All industries,Provincial Jurisdiction,9.0,25184.0,45.1,3.1,3.0,2025-10-21
June 2025,All industries,All Jurisdictions,4.0,4657.0,53.6,3.6,3.4,2025-10-21
