Sector,Month,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
All sectors,August 2024,All Jurisdictions,5.0,21192.0,45.1,3.2,3.0,2025-10-21
All sectors,August 2024,Federal Jurisdiction,1.0,652.0,36.0,4.0,3.3,2025-10-21
All sectors,August 2024,Provincial Jurisdiction,4.0,20540.0,45.3,3.2,3.0,2025-10-21
Private sector,August 2024,All Jurisdictions,2.0,2990.0,36.0,7.0,2.8,2025-10-21
Private sector,August 2024,Provincial Jurisdiction,2.0,2990.0,36.0,7.0,2.8,2025-10-21
Public sector,August 2024,All Jurisdictions,3.0,18202.0,46.5,2.6,3.1,2025-10-21
Public sector,August 2024,Federal Jurisdiction,1.0,652.0,36.0,4.0,3.3,2025-10-21
Public sector,August 2024,Provincial Jurisdiction,2.0,17550.0,46.9,2.6,3.1,2025-10-21
All sectors,September 2024,All Jurisdictions,5.0,14010.0,31.8,5.7,4.4,2025-10-21
All sectors,September 2024,Federal Jurisdiction,1.0,550.0,48.0,5.0,4.2,2025-10-21
All sectors,September 2024,Provincial Jurisdiction,4.0,13460.0,31.1,5.7,4.4,2025-10-21
Private sector,September 2024,All Jurisdictions,4.0,9010.0,29.4,6.9,5.1,2025-10-21
Private sector,September 2024,Federal Jurisdiction,1.0,550.0,48.0,5.0,4.2,2025-10-21
Private sector,September 2024,Provincial Jurisdiction,3.0,8460.0,28.2,7.1,5.2,2025-10-21
Public sector,September 2024,All Jurisdictions,1.0,5000.0,36.0,3.5,3.0,2025-10-21
Public sector,September 2024,Provincial Jurisdiction,1.0,5000.0,36.0,3.5,3.0,2025-10-21
All sectors,October 2024,All Jurisdictions,8.0,45176.0,45.7,3.4,3.7,2025-10-21
All sectors,October 2024,Federal Jurisdiction,2.0,1680.0,39.4,4.2,3.2,2025-10-21
All sectors,October 2024,Provincial Jurisdiction,6.0,43496.0,45.9,3.4,3.7,2025-10-21
Private sector,October 2024,All Jurisdictions,2.0,7296.0,46.0,3.5,3.1,2025-10-21
Private sector,October 2024,Federal Jurisdiction,1.0,600.0,24.0,3.2,3.1,2025-10-21
Private sector,October 2024,Provincial Jurisdiction,1.0,6696.0,48.0,3.5,3.1,2025-10-21
Public sector,October 2024,All Jurisdictions,6.0,37880.0,45.6,3.4,3.8,2025-10-21
Public sector,October 2024,Federal Jurisdiction,1.0,1080.0,48.0,4.7,3.2,2025-10-21
Public sector,October 2024,Provincial Jurisdiction,5.0,36800.0,45.5,3.3,3.9,2025-10-21
All sectors,November 2024,All Jurisdictions,6.0,6894.0,38.1,3.7,3.4,2025-10-21
