unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
All industries,5,21192,45.1,3.2,3.0,1,652,36.0,4.0,3.3,4,20540,45.3,3.2,3.0,jurisdiction_industry,August 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Transportation,1,652,36.0,4.0,3.3,1,652,36.0,4.0,3.3,,,,,,jurisdiction_industry,August 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
Finance and professional services,1,2240,36.0,7.7,2.5,,,,,,1,2240,36.0,7.7,2.5,jurisdiction_industry,August 2024,2025-10-21
"Education, health, and social services",2,17550,46.9,2.6,3.1,,,,,,2,17550,46.9,2.6,3.1,jurisdiction_industry,August 2024,2025-10-21
Entertainment and hospitality,1,750,36.0,5.0,3.7,,,,,,1,750,36.0,5.0,3.7,jurisdiction_industry,August 2024,2025-10-21
Public administration,,,,,,,,,,,,,,,,jurisdiction_industry,August 2024,2025-10-21
All industries,5,14010,31.8,5.7,4.4,1,550,48.0,5.0,4.2,4,13460,31.1,5.7,4.4,jurisdiction_industry,September 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Manufacturing,1,2710,24.1,15.3,9.9,,,,,,1,2710,24.1,15.3,9.9,jurisdiction_industry,September 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Transportation,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,jurisdiction_industry,September 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Finance and professional services,2,5750,30.1,3.2,2.9,,,,,,2,5750,30.1,3.2,2.9,jurisdiction_industry,September 2024,2025-10-21
"Education, health, and social services",1,5000,36.0,3.5,3.0,,,,,,1,5000,36.0,3.5,3.0,jurisdiction_industry,September 2024,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
Public administration,,,,,,,,,,,,,,,,jurisdiction_industry,September 2024,2025-10-21
All industries,8,45176,45.7,3.4,3.7,2,1680,39.4,4.2,3.2,6,43496,45.9,3.4,3.7,jurisdiction_industry,October 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Transportation,1,600,24.0,3.2,3.1,1,600,24.0,3.2,3.1,,,,,,jurisdiction_industry,October 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
"Education, health, and social services",4,36396,47.8,3.0,3.8,,,,,,4,36396,47.8,3.0,3.8,jurisdiction_industry,October 2024,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,October 2024,2025-10-21
Public administration,3,8180,37.6,5.4,3.4,1,1080,48.0,4.7,3.2,2,7100,36.0,5.5,3.4,jurisdiction_industry,October 2024,2025-10-21
All industries,6,6894,38.1,3.7,3.4,1,1020,48.0,4.8,3.1,5,5874,36.4,3.5,3.4,jurisdiction_industry,November 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Transportation,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,November 2024,2025-10-21
