unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Q3 2022,46,207945,47.3,2.1,1.9,13,30144,49.2,3.5,3.0,33,177801,46.9,1.8,1.7,jurisdiction_quarter,All industries,2025-10-21
Q4 2022,44,246342,39.3,3.9,3.6,6,9188,48.8,3.3,2.7,38,237154,39.0,3.9,3.6,jurisdiction_quarter,All industries,2025-10-21
Q1 2023,30,61655,42.6,3.8,3.4,5,11340,55.9,1.3,2.6,25,50315,39.6,4.4,3.6,jurisdiction_quarter,All industries,2025-10-21
Q2 2023,51,308518,42.4,2.6,3.0,15,189076,46.2,2.5,3.2,36,119442,36.3,2.7,2.8,jurisdiction_quarter,All industries,2025-10-21
Q3 2023,46,169307,37.5,5.4,4.3,12,36336,46.5,3.0,3.7,34,132971,35.0,6.0,4.4,jurisdiction_quarter,All industries,2025-10-21
Q4 2023,32,180530,48.9,4.0,3.0,4,26541,50.5,3.8,3.3,28,153989,48.6,4.0,3.0,jurisdiction_quarter,All industries,2025-10-21
Q1 2024,33,188927,45.9,3.0,2.6,6,14181,44.7,4.6,2.7,27,174746,46.0,2.9,2.6,jurisdiction_quarter,All industries,2025-10-21
Q2 2024,56,653329,53.5,5.3,3.5,6,32460,23.5,4.1,4.1,50,620869,55.1,5.4,3.5,jurisdiction_quarter,All industries,2025-10-21
Q3 2024,27,95429,42.8,4.1,3.3,4,10857,47.9,5.6,3.8,23,84572,42.1,3.9,3.3,jurisdiction_quarter,All industries,2025-10-21
Q4 2024,29,177872,50.3,4.8,3.7,7,11704,46.8,4.7,3.2,22,166168,50.6,4.8,3.7,jurisdiction_quarter,All industries,2025-10-21
Q1 2025,21,50994,49.7,4.2,3.4,6,13263,46.3,4.9,3.8,15,37731,50.8,3.9,3.2,jurisdiction_quarter,All industries,2025-10-21
Q2 2025,26,202589,46.9,5.8,4.4,1,733,48.0,5.0,4.5,25,201856,46.9,5.8,4.4,jurisdiction_quarter,All industries,2025-10-21
Q3 2022,1,1011,60.0,2.0,2.0,,,,,,1,1011,60.0,2.0,2.0,jurisdiction_quarter,Primary industries,2025-10-21
Q4 2022,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q1 2023,1,750,48.0,3.5,2.9,,,,,,1,750,48.0,3.5,2.9,jurisdiction_quarter,Primary industries,2025-10-21
Q2 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q3 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q4 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q1 2024,1,3317,36.0,5.0,4.0,,,,,,1,3317,36.0,5.0,4.0,jurisdiction_quarter,Primary industries,2025-10-21
Q2 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q3 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q1 2025,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
