unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Public sector,3,18202,46.5,2.6,3.1,3,18202,46.5,2.6,3.1,,,,,,cola_administration,August 2024,2025-10-21
Federal administration,1,652,36.0,4.0,3.3,1,652,36.0,4.0,3.3,,,,,,cola_administration,August 2024,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,August 2024,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,August 2024,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,August 2024,2025-10-21
"Education, health, and social services",2,17550,46.9,2.6,3.1,2,17550,46.9,2.6,3.1,,,,,,cola_administration,August 2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,August 2024,2025-10-21
Public sector,1,5000,36.0,3.5,3.0,1,5000,36.0,3.5,3.0,,,,,,cola_administration,September 2024,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,September 2024,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,September 2024,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,September 2024,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,September 2024,2025-10-21
"Education, health, and social services",1,5000,36.0,3.5,3.0,1,5000,36.0,3.5,3.0,,,,,,cola_administration,September 2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,September 2024,2025-10-21
Public sector,6,37880,45.6,3.4,3.8,6,37880,45.6,3.4,3.8,,,,,,cola_administration,October 2024,2025-10-21
Federal administration,1,1080,48.0,4.7,3.2,1,1080,48.0,4.7,3.2,,,,,,cola_administration,October 2024,2025-10-21
