unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
All industries,5,21192,45.1,3.2,3.0,5,21192,45.1,3.2,3.0,,,,,,cola_industry,August 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Transportation,1,652,36.0,4.0,3.3,1,652,36.0,4.0,3.3,,,,,,cola_industry,August 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
Finance and professional services,1,2240,36.0,7.7,2.5,1,2240,36.0,7.7,2.5,,,,,,cola_industry,August 2024,2025-10-21
"Education, health, and social services",2,17550,46.9,2.6,3.1,2,17550,46.9,2.6,3.1,,,,,,cola_industry,August 2024,2025-10-21
Entertainment and hospitality,1,750,36.0,5.0,3.7,1,750,36.0,5.0,3.7,,,,,,cola_industry,August 2024,2025-10-21
Public administration,,,,,,,,,,,,,,,,cola_industry,August 2024,2025-10-21
All industries,5,14010,31.8,5.7,4.4,4,11300,33.6,3.4,3.0,1,2710,24.1,15.3,9.9,cola_industry,September 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,September 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,September 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,cola_industry,September 2024,2025-10-21
Manufacturing,1,2710,24.1,15.3,9.9,,,,,,1,2710,24.1,15.3,9.9,cola_industry,September 2024,2025-10-21
