unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Q3 2022,46,207945,47.3,2.1,1.9,45,206467,47.3,2.1,1.9,1,1478,36.0,4.2,4.6,cola_quarter,All sectors,2025-10-21
Q4 2022,44,246342,39.3,3.9,3.6,43,185010,40.4,3.7,3.5,1,61332,36.0,4.2,3.9,cola_quarter,All sectors,2025-10-21
Q1 2023,30,61655,42.6,3.8,3.4,26,53170,43.7,3.8,3.4,4,8485,36.0,3.5,3.9,cola_quarter,All sectors,2025-10-21
Q2 2023,51,308518,42.4,2.6,3.0,49,305678,42.4,2.6,3.0,2,2840,36.2,2.6,3.7,cola_quarter,All sectors,2025-10-21
Q3 2023,46,169307,37.5,5.4,4.3,44,162807,37.5,5.2,4.2,2,6500,36.5,9.0,4.9,cola_quarter,All sectors,2025-10-21
Q4 2023,32,180530,48.9,4.0,3.0,30,168330,49.8,3.5,2.9,2,12200,36.0,10.0,5.2,cola_quarter,All sectors,2025-10-21
Q1 2024,33,188927,45.9,3.0,2.6,33,188927,45.9,3.0,2.6,,,,,,cola_quarter,All sectors,2025-10-21
Q2 2024,56,653329,53.5,5.3,3.5,34,174163,35.6,3.5,3.2,22,479166,60.0,6.0,3.6,cola_quarter,All sectors,2025-10-21
Q3 2024,27,95429,42.8,4.1,3.3,26,92719,43.3,3.8,3.1,1,2710,24.1,15.3,9.9,cola_quarter,All sectors,2025-10-21
Q4 2024,29,177872,50.3,4.8,3.7,28,96199,42.1,3.8,3.7,1,81673,60.0,6.0,3.6,cola_quarter,All sectors,2025-10-21
Q1 2025,21,50994,49.7,4.2,3.4,21,50994,49.7,4.2,3.4,,,,,,cola_quarter,All sectors,2025-10-21
Q2 2025,26,202589,46.9,5.8,4.4,26,202589,46.9,5.8,4.4,,,,,,cola_quarter,All sectors,2025-10-21
Q3 2022,17,54160,51.9,4.7,3.4,17,54160,51.9,4.7,3.4,,,,,,cola_quarter,Private sector,2025-10-21
Q4 2022,9,15408,46.9,4.6,3.7,9,15408,46.9,4.6,3.7,,,,,,cola_quarter,Private sector,2025-10-21
Q1 2023,10,26380,37.8,4.8,4.0,10,26380,37.8,4.8,4.0,,,,,,cola_quarter,Private sector,2025-10-21
Q2 2023,18,34841,30.4,6.8,4.9,17,33541,30.2,7.0,5.0,1,1300,36.3,3.0,3.5,cola_quarter,Private sector,2025-10-21
Q3 2023,14,24965,43.1,6.5,4.5,13,19465,45.1,5.5,4.3,1,5500,36.1,10.0,5.2,cola_quarter,Private sector,2025-10-21
Q4 2023,10,35496,54.2,7.4,3.7,8,23296,63.6,6.0,3.0,2,12200,36.0,10.0,5.2,cola_quarter,Private sector,2025-10-21
Q1 2024,8,21291,42.5,2.6,2.4,8,21291,42.5,2.6,2.4,,,,,,cola_quarter,Private sector,2025-10-21
Q2 2024,9,17020,28.5,4.9,4.2,9,17020,28.5,4.9,4.2,,,,,,cola_quarter,Private sector,2025-10-21
Q3 2024,8,13506,33.5,7.7,4.5,7,10796,35.8,5.8,3.2,1,2710,24.1,15.3,9.9,cola_quarter,Private sector,2025-10-21
Q4 2024,9,21097,53.3,3.0,3.5,9,21097,53.3,3.0,3.5,,,,,,cola_quarter,Private sector,2025-10-21
Q1 2025,8,10377,53.5,4.0,3.4,8,10377,53.5,4.0,3.4,,,,,,cola_quarter,Private sector,2025-10-21
Q2 2025,12,128621,47.6,7.2,5.1,12,128621,47.6,7.2,5.1,,,,,,cola_quarter,Private sector,2025-10-21
Q3 2022,29,153785,45.6,1.1,1.4,28,152307,45.7,1.1,1.4,1,1478,36.0,4.2,4.6,cola_quarter,Public sector,2025-10-21
Q4 2022,35,230934,38.8,3.8,3.6,34,169602,39.9,3.7,3.4,1,61332,36.0,4.2,3.9,cola_quarter,Public sector,2025-10-21
Q1 2023,20,35275,46.2,3.0,3.0,16,26790,49.5,2.9,2.7,4,8485,36.0,3.5,3.9,cola_quarter,Public sector,2025-10-21
Q2 2023,33,273677,43.9,2.0,2.8,32,272137,44.0,2.0,2.8,1,1540,36.0,2.3,4.0,cola_quarter,Public sector,2025-10-21
Q3 2023,32,144342,36.5,5.2,4.2,31,143342,36.5,5.2,4.2,1,1000,39.0,3.5,3.4,cola_quarter,Public sector,2025-10-21
Q4 2023,22,145034,47.6,3.1,2.9,22,145034,47.6,3.1,2.9,,,,,,cola_quarter,Public sector,2025-10-21
Q1 2024,25,167636,46.3,3.1,2.6,25,167636,46.3,3.1,2.6,,,,,,cola_quarter,Public sector,2025-10-21
Q2 2024,47,636309,54.2,5.3,3.5,25,157143,36.3,3.3,3.1,22,479166,60.0,6.0,3.6,cola_quarter,Public sector,2025-10-21
Q3 2024,19,81923,44.3,3.5,3.1,19,81923,44.3,3.5,3.1,,,,,,cola_quarter,Public sector,2025-10-21
Q4 2024,20,156775,49.9,5.0,3.7,19,75102,38.9,4.0,3.8,1,81673,60.0,6.0,3.6,cola_quarter,Public sector,2025-10-21
Q1 2025,13,40617,48.7,4.2,3.4,13,40617,48.7,4.2,3.4,,,,,,cola_quarter,Public sector,2025-10-21
Q2 2025,14,73968,45.6,3.3,3.1,14,73968,45.6,3.3,3.1,,,,,,cola_quarter,Public sector,2025-10-21
