File_Number,Employer,City_and_Province,Jurisdiction,Union_and_Affiliation,Employees_and_Bargaining_Unit,Settlement_Date,Expiry_Date,Duration_Months_Avg,Annual_Pct_Adjustment_Avg,First_Increase_Pct,Second_Increase_Pct,Third_Increase_Pct,COLA_Type,Page_Source,Section,Extraction_Date
03264-14,British Columbia Maritime Employers Association,"Vancouver, British Columbia",Federal jurisdiction,International Longshore and Warehouse Union (CLC),733 employees Construction managers,"June 4, 2025","March 31, 2027",48.0,4.5,5.0,5.0,4.0,Without COLA,listing_jurisdiction_sector,Federal jurisdiction,2025-10-21
12213-09,Halifax Regional Centre for Education,"Halifax, Nova Scotia",Nova Scotia,Canadian Union of Public Employees (CLC),1180 employees Occupations in education law and social community and government services 2011,"April 29, 2025","March 31, 2026",24.0,3.8,5.6,2.0,,Without COLA,listing_jurisdiction_sector,Nova Scotia,2025-10-21
15297-03,Revenu Québec,"Province wide, Quebec",Quebec,Syndicat de professionnelles et professionnels du Gouvernement du Québec (Independent-natl.),5713 employees General office support workersOther financial officers,"April 5, 2025","March 31, 2029",60.0,2.5,2.8,2.6,2.5,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
13290-05,Ville de Québec,"Québec, Quebec",Quebec,Canadian Union of Public Employees (CLC),1340 employees Public works and maintenance labourers,"May 25, 2025","December 31, 2028",60.0,4.4,6.0,5.0,5.0,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
06804-12,Ville de Québec,"Québec, Quebec",Quebec,Syndicat des pompiers et pompières du Québec (CLC),507 employees Firefighters,"May 13, 2025","December 31, 2028",60.0,3.6,4.0,4.0,4.0,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
04088-14,Hydro-Quebec,"Province wide, Quebec",Quebec,Canadian Union of Public Employees (CLC),2300 employees Technical occupations in civil mechanical and industrial engineering 2011,"June 20, 2025","December 31, 2028",60.0,3.5,3.0,3.0,3.9,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
10214-11,Association de la construction du Quebec,"Province wide, Quebec",Quebec,Conseil provincial du Québec des métiers de la construction - International (Independent-natl.),65760 employees Construction trades helpers and labourers,"April 10, 2025","April 30, 2029",48.0,5.5,8.0,5.0,5.0,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
10216-10,Association des constructeurs de routes et grands travaux du Quebec,"Province wide, Quebec",Quebec,Conseil provincial du Québec des métiers de la construction - International (Independent-natl.),28520 employees Construction trades helpers and labourers,"April 22, 2025","April 30, 2029",48.0,5.5,8.0,5.0,5.0,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
10215-11,Association de la construction du Quebec,"Province wide, Quebec",Quebec,Conseil provincial du Québec des métiers de la construction - International (Independent-natl.),10930 employees Construction trades helpers and labourers,"April 10, 2025","April 30, 2029",48.0,5.5,8.0,5.0,5.0,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
11071-06,Groupe Jean Coutu P.J.C. inc.,"Longueuil, Quebec",Quebec,Fédération du commerce inc. (CSN),878 employees Sales and service occupations 2011,"April 24, 2025","December 31, 2029",60.0,3.9,6.7,5.0,2.5,Without COLA,listing_jurisdiction_sector,Quebec,2025-10-21
