file_number,employer,city_and_province,jurisdiction,union_and_affiliation,number_of_employees_and_bargaining_unit,settlement_date,expiry_date,duration_of_agreements_in_months_(average),annual_percentage_adjustment_(average),first_increase,second_increase,third_increase,cola_type,page_source,section,extraction_date
Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,listing_cola_month,August 2024,2025-10-21
08997-12,Marine Atlantic Inc.,"Province wide, Newfoundland and Labrador",Federal jurisdiction,Unifor (Independent-natl.),652 employees Other service support occupations,"August 16, 2024","December 31, 2025",36.0,3.3,4.0,3.0,2.9,Without COLA,listing_cola_month,August 2024,2025-10-21
05295-17,York University,"Toronto, Ontario",Ontario,York University Faculty Association (Independent-local),1550 employees LibrariansUniversity professors and lecturers,"August 19, 2024","April 30, 2027",36.0,2.9,3.1,2.9,2.9,Without COLA,listing_cola_month,August 2024,2025-10-21
04917-18,Winnipeg School Division,"Winnipeg, Manitoba",Manitoba,Manitoba Teachers' Society (Independent-natl.),16000 employees LibrariansSecondary elementary and kindergarten school teachers,"August 8, 2024","June 30, 2026",48.0,3.1,2.5,2.7,3.0,Without COLA,listing_cola_month,August 2024,2025-10-21
14698-05,OEM Remanufacturing A Finning Enterprise,"Edmonton, Alberta",Alberta,Christian Labour Association of Canada (Independent-natl.),750 employees Automotive service technicians truck and bus mechanics and mechanical repairers,"August 16, 2024","December 31, 2026",36.0,3.7,5.0,3.0,3.0,Without COLA,listing_cola_month,August 2024,2025-10-21
06388-18,NDT (Nondestructive Testing) Management Association,"Canada wide, Multiprovince",Multi-provinces,United Assn. of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada (AFL-CIO/CLC),2240 employees Technical occupations in civil mechanical and industrial engineering 2011,"August 22, 2024","April 30, 2027",36.0,2.5,7.7,0.0,0.0,Without COLA,listing_cola_month,August 2024,2025-10-21
Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,listing_cola_month,September 2024,2025-10-21
03841-11,Vancouver Terminal Elevators' Association,"Vancouver, British Columbia",Federal jurisdiction,Grain and General Services Union (ILWU Canada) (CLC),550 employees Other labourers in processing manufacturing and utilitiesLabourers in food and beverage processing,"September 27, 2024","December 31, 2027",48.0,4.2,5.0,4.0,4.0,Without COLA,listing_cola_month,September 2024,2025-10-21
06101-19,Council of Academic Hospitals of Ontario,"Province wide, Ontario",Ontario,Professional Association of Internes and Residents of Ontario (Independent-natl.),5000 employees Professional occupations in health (except nursing) 2011,"September 24, 2024","June 30, 2026",36.0,3.0,3.5,3.0,2.6,Without COLA,listing_cola_month,September 2024,2025-10-21
13849-06,Securitas Canada (Ontario),"Province wide, Ontario",Ontario,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union (AFL-CIO/CLC)",3500 employees Security guards and related security service occupations,"September 26, 2024","June 30, 2027",36.0,4.5,5.3,4.2,4.0,Without COLA,listing_cola_month,September 2024,2025-10-21
14263-06,Paladin Security Group Limited,"Province wide, Ontario",Ontario,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union (AFL-CIO/CLC)",2250 employees Security guards and related security service occupations,"September 4, 2024","March 31, 2026",21.0,0.6,0.0,1.0,,Without COLA,listing_cola_month,September 2024,2025-10-21
With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,With COLA,listing_cola_month,September 2024,2025-10-21
08501-12,General Motors of Canada Company,"Ingersoll, Ontario",Ontario,Unifor (Independent-natl.),2710 employees Occupations in manufacturing and utilities 2011,"September 22, 2024","September 20, 2026",24.1,9.9,15.3,4.8,0.0,With COLA,listing_cola_month,September 2024,2025-10-21
Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,listing_cola_month,October 2024,2025-10-21
12477-08,Canadian Food Inspection Agency,"Canada wide, Multiprovince",Federal jurisdiction,Professional Institute of the Public Service of Canada (CLC),1080 employees Professional occupations in natural and applied sciences 2011,"October 7, 2024","September 30, 2026",48.0,3.2,4.7,3.5,2.5,Without COLA,listing_cola_month,October 2024,2025-10-21
07715-13,Canadian Pacific Kansas City,"Calgary, Alberta",Federal jurisdiction,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union (AFL-CIO/CLC)",600 employees Oil and solid fuel heating mechanics 2011Railway carmen/womenBusiness finance and administration occupations 2011,"October 15, 2024","December 31, 2024",24.0,3.1,3.2,3.0,,Without COLA,listing_cola_month,October 2024,2025-10-21
14529-04,Ontario Catholic School Trustees’ Association,"Province wide, Ontario",Ontario,Ontario English Catholic Teachers' Association (CLC),9300 employees Elementary school and kindergarten teachers,"October 7, 2024","August 31, 2026",48.0,2.8,3.0,3.0,2.8,Without COLA,listing_cola_month,October 2024,2025-10-21
13760-06,Board of Governors of Toronto Metropolitan University,"Toronto, Ontario",Ontario,Canadian Union of Public Employees (CLC),1400 employees Occupations in education law and social community and government services 2011,"October 22, 2024","August 31, 2027",44.0,3.0,6.1,2.5,2.5,Without COLA,listing_cola_month,October 2024,2025-10-21
08093-13,Regional Health Authorities of Manitoba,"Province wide, Manitoba",Manitoba,Canadian Union of Public Employees (CLC),19000 employees Trades transport and equipment operators and related occupations 2011Technical occupations in civil mechanical and industrial engineering 2011General office support workers,"October 9, 2024","March 31, 2028",48.0,4.6,2.5,5.6,7.8,Without COLA,listing_cola_month,October 2024,2025-10-21
15355-02,Regional Health Authorities of Manitoba,"Province wide, Manitoba",Manitoba,Manitoba Government and General Employees' Union (CLC),6696 employees Social and community service workersAssisting occupations in support of health services,"October 18, 2024","March 31, 2028",48.0,3.1,3.5,2.8,3.0,Without COLA,listing_cola_month,October 2024,2025-10-21
07277-18,City of Red Deer,"Red Deer, Alberta",Alberta,Canadian Union of Public Employees (CLC),1100 employees Occupations in education law and social community and government services 2011Business finance and administration occupations 2011,"October 2, 2024","December 31, 2026",36.0,3.0,3.0,3.0,3.0,Without COLA,listing_cola_month,October 2024,2025-10-21
12617-08,Government of Northwest Territories,"Province wide, Northwest Territories",All territories,Public Service Alliance of Canada (CLC),6000 employees Technical occupations in civil mechanical and industrial engineering 2011General office support workers,"October 4, 2024","March 31, 2026",36.0,3.5,6.0,2.3,2.2,Without COLA,listing_cola_month,October 2024,2025-10-21
Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,Without COLA,listing_cola_month,November 2024,2025-10-21
06376-15,National Research Council Canada,"Canada wide, Multiprovince",Federal jurisdiction,Research Council Employees' Association (Independent-natl.),1020 employees Technical occupations in civil mechanical and industrial engineering 2011,"November 7, 2024","March 31, 2026",48.0,3.1,4.8,3.5,2.3,Without COLA,listing_cola_month,November 2024,2025-10-21
12369-09,Corporation of the City of Brampton,"Brampton, Ontario",Ontario,Canadian Union of Public Employees (CLC),1200 employees Occupations in education law and social community and government services 2011,"November 20, 2024","March 31, 2027",36.0,3.0,3.0,3.0,3.0,Without COLA,listing_cola_month,November 2024,2025-10-21
13829-07,University of Guelph,"Guelph, Ontario",Ontario,University of Guelph Faculty Association (Independent-local),800 employees LibrariansUniversity professors and lecturersVeterinarians,"November 11, 2024","June 30, 2027",36.0,3.4,3.8,3.5,3.0,Without COLA,listing_cola_month,November 2024,2025-10-21
05718-14,Perley Health,"Ottawa, Ontario",Ontario,Canadian Union of Public Employees (CLC),747 employees Assisting occupations in support of health services,"November 5, 2024","September 28, 2023",24.0,4.1,4.8,3.5,0.0,Without COLA,listing_cola_month,November 2024,2025-10-21
07258-18,City of Calgary,"Calgary, Alberta",Alberta,Calgary Police Association (Independent-local),2200 employees Police officers (except commissioned),"November 13, 2024","December 31, 2026",36.0,3.7,3.5,3.8,3.7,Without COLA,listing_cola_month,November 2024,2025-10-21
